	date	date_subseq	credit_ghs_fixed_1st	credit_ghs_fixed_subseq	ghs_used
0	2023-04-01	2023-05-01 00:00:00	3474.8199999999993	3226.399	248.42099999999937
1	2023-05-01	2023-06-01 00:00:00	3226.399	2992.06	234.33899999999994
2	2023-06-01	2023-07-01 00:00:00	2992.06	2794.96	197.0999999999999
3	2023-07-01	2023-08-01 00:00:00	2794.96	2421.47	373.49000000000024
4	2023-08-01	2023-09-01 00:00:00	2421.47	2169.9399999999996	251.5300000000002
5	2023-09-01	2023-10-01 00:00:00	2169.9399999999996	1856.3899999999999	313.5499999999997
6	2023-10-01	2023-11-01 00:00:00	1856.3899999999999	1514.47	341.91999999999985
7	2023-11-01	2023-12-01 00:00:00	1514.47	1232.28	282.19000000000005
8	2023-12-01	2024-01-01 00:00:00	1232.28	939.31	292.97
9	2024-01-01	2024-02-01 00:00:00	939.31	702.49	236.81999999999994
10	2024-02-01	2024-03-01 00:00:00	702.49	299.76	402.73
11	2024-03-01	2024-03-12	299.76	185.81	113.94999999999999
