	measured	date	day_count	week	credit_ghs_fixed	ghs_used
0	1	2023-03-31	1	1	3486.1499999999996	60.91333333333341
1	0	2023-04-07	8	2	3425.236666666666	62.85555555555584
2	0	2023-04-14	15	3	3362.3811111111104	63.412222222222226
3	0	2023-04-21	22	4	3298.968888888888	52.520888888888294
4	0	2023-04-28	29	5	3246.448	47.76800000000003
5	0	2023-05-05	36	6	3198.68	54.960000000000036
6	0	2023-05-12	43	7	3143.72	77.63000000000011
7	1	2023-05-19	50	8	3066.0899999999997	22.149999999999636
8	1	2023-05-26	57	9	3043.94	58.875
9	0	2023-06-02	64	10	2985.065	54.73500000000013
10	1	2023-06-09	71	11	2930.33	50.93000000000029
11	1	2023-06-16	78	12	2879.3999999999996	34.233999999999924
12	0	2023-06-23	85	13	2845.1659999999997	47.235999999999876
13	1	2023-06-30	92	14	2797.93	59.289999999999964
14	1	2023-07-07	99	15	2738.64	123.32000000000016
15	1	2023-07-14	106	16	2615.3199999999997	65.36999999999989
16	1	2023-07-21	113	17	2549.95	97.75
17	1	2023-07-28	120	18	2452.2	55.809999999999945
18	1	2023-08-04	127	19	2396.39	72.47000000000025
19	1	2023-08-11	134	20	2323.9199999999996	48.679999999999836
20	1	2023-08-18	141	21	2275.24	59.01999999999998
21	1	2023-08-25	148	22	2216.22	46.2800000000002
22	1	2023-09-01	155	23	2169.9399999999996	53.629999999999654
23	1	2023-09-08	162	24	2116.31	72.8900000000001
24	1	2023-09-15	169	25	2043.4199999999998	97.84999999999991
25	1	2023-09-22	176	26	1945.57	69.35000000000014
26	1	2023-09-29	183	27	1876.2199999999998	71.84999999999991
27	1	2023-10-06	190	28	1804.37	76.14999999999986
28	1	2023-10-13	197	29	1728.22	79.93999999999983
29	1	2023-10-20	204	30	1648.2800000000002	63.090000000000146
30	1	2023-10-27	211	31	1585.19	87.27999999999997
31	1	2023-11-03	218	32	1497.91	70.26999999999998
32	1	2023-11-10	225	33	1427.64	71.75999999999999
33	1	2023-11-17	232	34	1355.88	73.55999999999995
34	1	2023-11-24	239	35	1282.3200000000002	50.04000000000019
35	1	2023-12-01	246	36	1232.28	65.36999999999989
36	1	2023-12-08	253	37	1166.91	47.450000000000045
37	0	2023-12-15	260	38	1119.46	57.75
38	1	2023-12-22	267	39	1061.71	87.99000000000001
39	1	2023-12-29	274	40	973.72	67.61000000000001
40	1	2024-01-05	281	41	906.11	49.502000000000066
41	0	2024-01-12	288	42	856.608	54.682000000000016
42	0	2024-01-19	295	43	801.9259999999999	61.13599999999997
43	1	2024-01-26	302	44	740.79	68.5333333333333
44	0	2024-02-02	309	45	672.2566666666667	161.98916666666668
45	0	2024-02-09	316	46	510.2675	60.83749999999998
46	0	2024-02-16	323	47	449.43	71.84571428571428
47	0	2024-02-23	330	48	377.5842857142857	77.82428571428574
48	1	2024-03-01	337	49	299.76	89.79999999999998
49	1	2024-03-08	344	50	209.96	
